"","logFC","logCPM","F","PValue","FDR","significance"
"ENSMUSG00000023959",4.66849029286258,5.09392138922917,246.307641296771,2.41493405797208e-08,0.000210234337129224,"Upregulated"
"ENSMUSG00000029428",2.33859362727593,4.21175240873881,224.602835673925,3.75183969178593e-08,0.000210234337129224,"Upregulated"
"ENSMUSG00000000708",2.05843183225991,4.65079549231369,205.635438265664,5.7153346089368e-08,0.000213505849874515,"Upregulated"
"ENSMUSG00000040298",3.14499029938031,1.8729847875994,182.708459526056,1.0170178694743e-07,0.000232377337359529,"Upregulated"
"ENSMUSG00000034854",1.9587488651105,4.24048683040661,179.107397261836,1.10119569832012e-07,0.000232377337359529,"Upregulated"
"ENSMUSG00000004207",1.96080052831964,9.86976049615527,173.240448174682,1.2887320996214e-07,0.000232377337359529,"Upregulated"
"ENSMUSG00000027219",1.75722005763928,5.51226359366528,163.231668190186,1.70652080955529e-07,0.000232377337359529,"Upregulated"
"ENSMUSG00000001930",1.79373294874657,4.50471968450015,161.647714207675,1.78710077234384e-07,0.000232377337359529,"Upregulated"
"ENSMUSG00000064147",-2.40720045604626,7.9428690517736,160.160873379586,1.86615154478073e-07,0.000232377337359529,"Downregulated"
"ENSMUSG00000060445",-1.65122797003588,6.12546112470584,154.489254387335,2.21090492104266e-07,0.000247776114501251,"Downregulated"
"ENSMUSG00000012848",1.79788855188288,5.33756337669968,146.488888971741,2.83717883749888e-07,0.000289056938471364,"Upregulated"
"ENSMUSG00000001482",1.74758998415791,5.57279764682241,138.211428581265,3.72375425899406e-07,0.000332966495923423,"Upregulated"
"ENSMUSG00000035385",3.32745724522243,2.97168247045426,137.232019025118,3.86237570001294e-07,0.000332966495923423,"Upregulated"
"ENSMUSG00000002728",2.25244336996964,3.36039238568252,132.535664533703,4.53108790178094e-07,0.000357033636637745,"Upregulated"
"ENSMUSG00000017405",-1.95105562247202,4.52552217476256,131.011958034646,4.77871379456248e-07,0.000357033636637745,"Downregulated"
"ENSMUSG00000021143",1.564557443054,4.97172175841184,126.935472585091,5.53369293585868e-07,0.000364728852885499,"Upregulated"
"ENSMUSG00000048327",-1.55014773680472,5.37368103563801,125.207562558432,5.89697736396358e-07,0.000364728852885499,"Downregulated"
"ENSMUSG00000094796",4.08438568131175,1.11802776356939,126.295784247592,6.21869427465852e-07,0.000364728852885499,"Upregulated"
"ENSMUSG00000028341",-1.82784985707902,9.48555984591704,122.914166884505,6.42444475803884e-07,0.000364728852885499,"Downregulated"
"ENSMUSG00000005575",1.73106208869,5.94525920208131,122.176045677061,6.60617687418729e-07,0.000364728852885499,"Upregulated"
"ENSMUSG00000022747",-1.35126429271884,7.00599321251074,121.282763588243,6.83439449504371e-07,0.000364728852885499,"Downregulated"
"ENSMUSG00000044703",4.7556521373342,2.01912982785885,119.950570074063,7.83981095315067e-07,0.000390195280951231,"Upregulated"
"ENSMUSG00000029468",2.68163330154335,2.26154672849461,117.295457031214,8.00793384659437e-07,0.000390195280951231,"Upregulated"
"ENSMUSG00000002603",-1.79203947906083,7.9085144803102,113.800259713029,9.1703621708191e-07,0.000428217703534874,"Downregulated"
"ENSMUSG00000079427",-1.47788971213308,6.32459515905797,110.93625052804,1.03117210916939e-06,0.000457486353521626,"Downregulated"
"ENSMUSG00000035561",1.93700507926567,2.27340351586531,110.285672755607,1.06135854301439e-06,0.000457486353521626,"Upregulated"
"ENSMUSG00000071369",-2.43557309248148,6.56687620180595,109.327974792835,1.10274551967591e-06,0.000457721075518814,"Downregulated"
"ENSMUSG00000106149",-1.57871860206725,5.95303887117617,108.128049068108,1.16005442672656e-06,0.000464311784297305,"Downregulated"
"ENSMUSG00000019302",-2.20809265996976,6.5642292916435,106.947857451178,1.21994535933903e-06,0.000471445780762499,"Downregulated"
"ENSMUSG00000020573",-1.72898746804743,5.37682196598468,103.297967241783,1.43017832794413e-06,0.000485474117391931,"Downregulated"
"ENSMUSG00000047067",3.42677315629001,1.60704024076623,102.269017058071,1.53893418224777e-06,0.000485474117391931,"Upregulated"
"ENSMUSG00000031245",-2.26886347738151,5.16642182767546,100.87325814416,1.59410220060915e-06,0.000485474117391931,"Downregulated"
"ENSMUSG00000106874",-1.74080475271726,6.51215697834017,99.9542288113469,1.66204718948226e-06,0.000485474117391931,"Downregulated"
"ENSMUSG00000021123",-1.73140552668325,7.40038498933187,99.6933017200829,1.68197321452053e-06,0.000485474117391931,"Downregulated"
"ENSMUSG00000030793",2.12382508279178,4.0509392070945,99.5533767676195,1.69313117405391e-06,0.000485474117391931,"Upregulated"
