"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","28/393","215/11214",0.130232558139535,3.71610154447009,7.66323456557703,1.78787288495461e-09,5.59604212990793e-07,4.55437092798964e-07,"20296/12018/12122/20293/13063/23797/21355/142980/14991/20304/18987/12010/213233/54123/110557/12028/69550/23960/15039/81897/15040/16193/246730/21356/12370/15042/13163/20847",28
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","24/393","174/11214",0.137931034482759,3.9357725717294,7.43765421820695,8.49572367309203e-09,1.3295807548389e-06,1.0820869099412e-06,"20296/66824/12018/12122/17857/20293/13063/23797/142980/170743/17858/20304/12362/22035/54123/12028/23960/12567/16193/246730/26395/12370/58185/20847",24
"Human Diseases","Infectious disease: viral","mmu05160","Hepatitis C","22/393","164/11214",0.134146341463415,3.82777881213927,6.95199912614435,5.98624832536096e-08,6.24565241945993e-06,5.08305998153457e-06,"12018/12122/17857/22259/13063/23797/142980/17858/667373/22628/22629/54123/12028/23960/12567/246730/26395/15957/12370/58185/112419/20847",22
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","19/393","136/11214",0.139705882352941,3.98641670408621,6.6774811022796,2.53592624672966e-07,1.98436228806596e-05,1.61498460975942e-05,"12018/13040/12122/12366/53857/12369/13063/23797/229445/64704/328417/22035/13030/12028/16188/13033/26395/12370/13163",19
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","25/393","228/11214",0.109649122807018,3.12876657292085,6.18869608668539,4.09469288277026e-07,2.48322576689054e-05,2.02098750828152e-05,"12018/60406/12122/13063/21939/23797/21355/14991/12010/213233/54123/110557/12028/23960/17463/15039/12567/15040/16193/246730/21356/12370/100038882/15042/20847",25
"Genetic Information Processing","Folding, sorting and degradation","mmu03050","Proteasome","11/393","47/11214",0.234042553191489,6.67825239564723,7.4339365749027,4.76017718892755e-07,2.48322576689054e-05,2.02098750828152e-05,"26442/19186/19172/19167/19171/19188/19173/16913/16912/17463/621823",11
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome biogenesis","26/393","254/11214",0.102362204724409,2.92083909358658,5.90100598387058,9.13772416093194e-07,4.08586808910242e-05,3.32530713826395e-05,"19156/13040/50917/16783/17775/67963/67474/229445/142980/170743/27060/12512/15212/15587/13030/232946/242341/75612/13033/81897/215332/27419/94178/12514/18145/211329",26
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation","14/393","87/11214",0.160919540229885,4.59173466701764,6.40911872180278,1.75849769697613e-06,6.8801222394191e-05,5.59942687721346e-05,"13040/19186/21355/14991/19188/13030/12010/213233/110557/15039/15040/21356/15042/621823",14
"Human Diseases","Infectious disease: viral","mmu05162","Measles","18/393","142/11214",0.126760563380282,3.61703042683582,5.98085665077367,2.23752899722464e-06,7.78162862368126e-05,6.33312300968847e-05,"12018/12122/17857/13063/23797/170743/17858/27218/54123/12028/23960/12567/81897/16193/246730/12370/16184/20847",18
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","24/393","255/11214",0.0941176470588235,2.68558599012124,5.18870556791962,1.03440122436709e-05,0.0003237675832269,0.000263500101365091,"20296/12018/12122/20293/13063/23797/12774/21355/14991/20304/73181/12010/213233/110557/12028/26427/15039/12567/15040/16193/26395/21356/12370/15042",24
"Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway","12/393","82/11214",0.146341463414634,4.17575870415193,5.50036249596532,2.61504738706074e-05,0.000744099847409102,0.000605589921214067,"66824/72935/12369/69146/20304/12362/23983/54123/16193/74568/12370/58203",12
"Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection","22/393","245/11214",0.0897959183673469,2.56226826608506,4.71171076521016,4.97210053313118e-05,0.00129688955572505,0.00105548099036644,"12018/12122/13063/23797/12774/21355/14991/12632/73181/12010/213233/434219/110557/12028/69550/15039/15040/26395/21356/12370/15042/20128",22
"Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway","20/393","212/11214",0.0943396226415094,2.69191991934322,4.73953136212033,5.47093752722324e-05,0.00131723342001606,0.00107203796080002,"20296/18439/66824/20293/69146/24105/22166/20304/12362/13030/54123/23960/17951/16193/246730/55932/12370/15944/14469/20847",20
"Metabolism","Glycan biosynthesis and metabolism","mmu00531","Glycosaminoglycan degradation","6/393","21/11214",0.285714285714286,8.15267175572519,6.25213257365492,6.18467828329636e-05,0.0013175672912405,0.00107230968380763,"50917/15212/15587/75612/27419/15442",6
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","14/393","118/11214",0.11864406779661,3.38543149178419,4.96418794673295,6.32372529900083e-05,0.0013175672912405,0.00107230968380763,"20296/12369/20293/12977/23797/17387/20304/13614/26427/16193/26395/74568/12370/15953",14
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","22/393","250/11214",0.088,2.51102290076336,4.60447400134819,6.73516826193225e-05,0.0013175672912405,0.00107230968380763,"66824/22152/12018/53857/12369/11841/13063/23797/69146/22166/226421/12362/22035/69582/12028/100041194/81897/17951/16193/26395/74568/12370",22
"Cellular Processes","Cell growth and death","mmu04215","Apoptosis - multiple species","7/393","32/11214",0.21875,6.2418893129771,5.65882911258138,9.69437445787788e-05,0.00178490541489163,0.00145265549152102,"12018/12122/12369/13063/64704/12028/12370",7
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection","20/393","223/11214",0.0896860986547085,2.55913463184199,4.48168092596133,0.000110763642851199,0.00192605667846807,0.00156753225555498,"12018/12122/13063/23797/12774/142980/14991/239849/73181/54123/110557/12028/15039/12567/15040/16193/26395/12370/15042/20847",20
